return_id,order_id,return_reason,return_date
1,177,Not Needed,2024-08-28 00:00:00
2,198,Not Needed,2024-01-05 00:00:00
3,112,Wrong Product,2024-03-24 00:00:00
4,56,Damaged,2024-11-03 00:00:00
5,179,Wrong Product,2024-12-26 00:00:00
6,165,Damaged,2024-09-04 00:00:00
7,145,Not Needed,2024-02-23 00:00:00
8,186,Damaged,2024-06-09 00:00:00
9,157,Wrong Product,2024-08-13 00:00:00
10,161,Wrong Product,2024-01-15 00:00:00
11,60,Wrong Product,2024-08-11 00:00:00
12,120,Damaged,2024-03-01 00:00:00
13,183,Not Needed,2024-05-01 00:00:00
14,138,Not Needed,2024-10-03 00:00:00
15,175,Damaged,2024-02-15 00:00:00
16,23,Wrong Product,2024-10-20 00:00:00
17,149,Not Needed,2024-03-02 00:00:00
18,13,Wrong Product,2024-03-26 00:00:00
19,101,Damaged,2024-07-28 00:00:00
20,161,Wrong Product,2024-03-18 00:00:00
21,24,Not Needed,2024-07-20 00:00:00
22,108,Not Needed,2024-10-28 00:00:00
23,11,Wrong Product,2024-08-10 00:00:00
24,17,Damaged,2024-08-09 00:00:00
25,196,Wrong Product,2024-01-03 00:00:00
26,175,Damaged,2024-01-06 00:00:00
27,25,Wrong Product,2024-04-02 00:00:00
28,94,Not Needed,2024-01-08 00:00:00
29,21,Damaged,2024-08-22 00:00:00
30,84,Damaged,2024-04-17 00:00:00
31,140,Damaged,2024-06-09 00:00:00
32,37,Not Needed,2024-07-27 00:00:00
33,42,Wrong Product,2024-08-27 00:00:00
34,145,Not Needed,2024-11-26 00:00:00
35,101,Damaged,2024-11-28 00:00:00
36,48,Wrong Product,2024-02-19 00:00:00
37,103,Not Needed,2024-01-11 00:00:00
38,28,Damaged,2024-12-16 00:00:00
39,41,Damaged,2024-06-04 00:00:00
40,99,Not Needed,2024-03-10 00:00:00
41,47,Not Needed,2024-06-17 00:00:00
42,146,Not Needed,2024-09-28 00:00:00
43,105,Damaged,2024-03-08 00:00:00
44,124,Not Needed,2024-12-20 00:00:00
45,199,Damaged,2024-09-08 00:00:00
46,13,Not Needed,2024-02-17 00:00:00
47,141,Damaged,2024-07-02 00:00:00
48,100,Damaged,2024-11-15 00:00:00
49,31,Wrong Product,2024-07-05 00:00:00
50,130,Not Needed,2024-03-30 00:00:00
51,16,Not Needed,2024-11-27 00:00:00
52,137,Damaged,2024-05-18 00:00:00
53,73,Damaged,2024-12-22 00:00:00
54,166,Damaged,2024-03-29 00:00:00
55,54,Wrong Product,2024-09-30 00:00:00
56,184,Wrong Product,2024-01-19 00:00:00
57,100,Damaged,2024-11-06 00:00:00
58,109,Not Needed,2024-12-23 00:00:00
59,87,Not Needed,2024-06-02 00:00:00
60,173,Wrong Product,2024-09-16 00:00:00
61,162,Wrong Product,2024-04-17 00:00:00
62,137,Damaged,2024-10-11 00:00:00
63,8,Not Needed,2024-02-28 00:00:00
64,7,Damaged,2024-05-04 00:00:00
65,36,Wrong Product,2024-12-19 00:00:00
66,18,Not Needed,2024-09-29 00:00:00
67,3,Not Needed,2024-04-16 00:00:00
68,28,Wrong Product,2024-10-25 00:00:00
69,70,Damaged,2024-09-01 00:00:00
70,172,Damaged,2024-12-01 00:00:00
71,149,Not Needed,2024-09-03 00:00:00
72,28,Wrong Product,2024-01-08 00:00:00
73,54,Not Needed,2024-05-20 00:00:00
74,182,Wrong Product,2024-12-27 00:00:00
75,65,Damaged,2024-01-08 00:00:00
76,100,Wrong Product,2024-12-17 00:00:00
77,21,Damaged,2024-04-03 00:00:00
78,13,Wrong Product,2024-11-16 00:00:00
79,57,Not Needed,2024-02-08 00:00:00
80,49,Damaged,2024-03-21 00:00:00
81,118,Not Needed,2024-07-05 00:00:00
82,54,Not Needed,2024-03-24 00:00:00
83,138,Damaged,2024-03-28 00:00:00
84,53,Damaged,2024-08-29 00:00:00
85,44,Not Needed,2024-12-07 00:00:00
86,47,Not Needed,2024-04-02 00:00:00
87,53,Not Needed,2024-03-26 00:00:00
88,74,Not Needed,2024-02-13 00:00:00
89,46,Damaged,2024-05-16 00:00:00
90,13,Damaged,2024-03-14 00:00:00
91,165,Not Needed,2024-02-05 00:00:00
92,102,Wrong Product,2024-04-10 00:00:00
93,24,Wrong Product,2024-06-04 00:00:00
94,2,Damaged,2024-09-11 00:00:00
95,81,Not Needed,2024-06-19 00:00:00
96,100,Not Needed,2024-08-03 00:00:00
97,142,Damaged,2024-06-18 00:00:00
98,138,Wrong Product,2024-09-08 00:00:00
99,163,Wrong Product,2024-12-25 00:00:00
100,153,Wrong Product,2024-11-17 00:00:00
